Product Name,Category,Sub-Category
Aeropress Coffee Maker,Kitchen,Coffee Equipment
Almond Flour Pancake Mix,Food - Baking,Mixes
Biodegradable Dog Waste Bags,Pets,Dog Supplies
Cat Tree with Scratching Posts,Pets,Cat Furniture
Chili Con Carne Mix,Food - Baking & Cooking,Seasoning Mixes
Chino Shorts,Clothing - Bottoms,Bottoms
Chocolate Peanut Butter Cups,Food - Snacks,Candy
Dark Chocolate Raisins,Food - Snacks,Chocolate Snacks
Digital Voice Recorder,Electronics,Audio Recording Devices
Eco-Friendly Stainless Steel Straws,Home,Kitchen Accessories
Electric Butter Churn,Kitchen,Small Appliances
Electric Razor,Health,Personal Care & Grooming
Garlic Herb Seasoning,Food - Spices,Herb Blends
Greek Feta Cheese,Food - Dairy,Cheese
Green Smoothie Mix,Food - Beverages,Health Drinks
Hibiscus Herbal Tea,Food - Beverages,Herbal Tea
LED Flashlight with Rechargeable Batteries,Outdoor,Camping Equipment
Multi-Cooker,Kitchen,Cooking Appliances
Multi-Purpose Marine Rope,Outdoor,Outdoor Recreation
Organic Coconut Flour,Food - Baking,Baking Ingredients
Organic Quinoa,Food - Grains,Whole Grains
Organic Quinoa Salad,Food,Healthy Meals
Outdoor Sports Backpack,Outdoor,Outdoor Accessories
Peanut Butter Granola,Food - Breakfast,Granola/Cereal
Plant-Based Meal Prep Containers,Kitchen,Food Storage Solutions
Portable Air Conditioner,Home Appliances,Cooling Appliances
Portable Phone Mug Holder,Automotive,Automotive Accessories
Portable Speakers,Audio,Wireless Speakers
Smart Wi-Fi Light Bulbs,Smart Home,Smart Lighting
Smartphone Projector,Electronics,Portable Projectors
Spicy BBQ Sauce,Food - Condiments,Sauces
Sunflower Seeds,Seeds & Nuts,Seeds & Nuts
USB Flash Drive,Storage,Storage Devices
Weighted Blanket,Health,Sleep & Relaxation
Whole Grain Mustard,Food - Condiments,Mustards
Whole Roasted Chicken,Food - Meat,Poultry
